date,currency_pair,close_price
2000-01-03,AUDUSD,1.5172
2000-01-03,BRLUSD,1.805
2000-01-03,CADUSD,1.4465
2000-01-03,CHFUSD,1.5808
2000-01-03,CNYUSD,8.2798
2000-01-03,DKKUSD,7.329
2000-01-03,EURUSD,0.9847
2000-01-03,GBPUSD,0.6146
2000-01-03,HKDUSD,7.7765
2000-01-03,INRUSD,43.55
2000-01-03,JPYUSD,101.7
2000-01-03,KRWUSD,1128.0
2000-01-03,LKRUSD,72.3
2000-01-03,MXNUSD,9.4015
2000-01-03,MYRUSD,3.8
2000-01-03,NOKUSD,7.964
2000-01-03,NZDUSD,1.9033
2000-01-03,SEKUSD,8.443
2000-01-03,SGDUSD,1.6563
2000-01-03,THBUSD,36.97
2000-01-03,TWDUSD,31.38
2000-01-03,ZARUSD,6.126
2000-01-04,AUDUSD,1.5239
2000-01-04,BRLUSD,1.8405
2000-01-04,CADUSD,1.4518
2000-01-04,CHFUSD,1.5565
2000-01-04,CNYUSD,8.2799
2000-01-04,DKKUSD,7.218
2000-01-04,EURUSD,0.97
2000-01-04,GBPUSD,0.6109
2000-01-04,HKDUSD,7.7775
2000-01-04,INRUSD,43.55
2000-01-04,JPYUSD,103.09
2000-01-04,KRWUSD,1122.5
2000-01-04,LKRUSD,72.65
2000-01-04,MXNUSD,9.457
2000-01-04,MYRUSD,3.8
2000-01-04,NOKUSD,7.934
2000-01-04,NZDUSD,1.9238
2000-01-04,SEKUSD,8.36
2000-01-04,SGDUSD,1.6535
2000-01-04,THBUSD,37.13
2000-01-04,TWDUSD,30.6
2000-01-04,ZARUSD,6.085
2000-01-05,AUDUSD,1.5267
2000-01-05,BRLUSD,1.856
2000-01-05,CADUSD,1.4518
2000-01-05,CHFUSD,1.5526
2000-01-05,CNYUSD,8.2798
2000-01-05,DKKUSD,7.208
2000-01-05,EURUSD,0.9676
2000-01-05,GBPUSD,0.6092
2000-01-05,HKDUSD,7.778
2000-01-05,INRUSD,43.55
2000-01-05,JPYUSD,103.77
2000-01-05,KRWUSD,1135.0
2000-01-05,LKRUSD,72.95
2000-01-05,MXNUSD,9.535
2000-01-05,MYRUSD,3.8
2000-01-05,NOKUSD,7.935
2000-01-05,NZDUSD,1.9339
2000-01-05,SEKUSD,8.353
2000-01-05,SGDUSD,1.656
2000-01-05,THBUSD,37.1
2000-01-05,TWDUSD,30.8
2000-01-05,ZARUSD,6.07
2000-01-06,AUDUSD,1.5291
2000-01-06,BRLUSD,1.84
2000-01-06,CADUSD,1.4571
2000-01-06,CHFUSD,1.554
2000-01-06,CNYUSD,8.2797
2000-01-06,DKKUSD,7.2125
2000-01-06,EURUSD,0.9686
2000-01-06,GBPUSD,0.607
2000-01-06,HKDUSD,7.7785
2000-01-06,INRUSD,43.55
2000-01-06,JPYUSD,105.19
2000-01-06,KRWUSD,1146.5
2000-01-06,LKRUSD,72.95
2000-01-06,MXNUSD,9.567
2000-01-06,MYRUSD,3.8
2000-01-06,NOKUSD,7.94
2000-01-06,NZDUSD,1.9436
2000-01-06,SEKUSD,8.3675
2000-01-06,SGDUSD,1.6655
2000-01-06,THBUSD,37.62
2000-01-06,TWDUSD,31.75
2000-01-06,ZARUSD,6.08
2000-01-07,AUDUSD,1.5272
2000-01-07,BRLUSD,1.831
2000-01-07,CADUSD,1.4505
2000-01-07,CHFUSD,1.5623
2000-01-07,CNYUSD,8.2794
2000-01-07,DKKUSD,7.2285
2000-01-07,EURUSD,0.9714
2000-01-07,GBPUSD,0.6104
2000-01-07,HKDUSD,7.7783
2000-01-07,INRUSD,43.55
2000-01-07,JPYUSD,105.17
2000-01-07,KRWUSD,1138.0
2000-01-07,LKRUSD,73.15
2000-01-07,MXNUSD,9.52
2000-01-07,MYRUSD,3.8
2000-01-07,NOKUSD,7.966
2000-01-07,NZDUSD,1.938
2000-01-07,SEKUSD,8.415
2000-01-07,SGDUSD,1.6625
2000-01-07,THBUSD,37.3
2000-01-07,TWDUSD,30.85
2000-01-07,ZARUSD,6.057
2000-01-10,AUDUSD,1.5242
2000-01-10,BRLUSD,1.819
2000-01-10,CADUSD,1.4568
2000-01-10,CHFUSD,1.5704
2000-01-10,CNYUSD,8.2794
2000-01-10,DKKUSD,7.254
2000-01-10,EURUSD,0.9754
2000-01-10,GBPUSD,0.6107
2000-01-10,HKDUSD,7.7785
